Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
185,20151030,p,full,5,-,-,-1½-110,+1½-110,-2-102,+2-108,-2-105,+2-105,-2-110,+2-110,-2½-115,+2½-105,-2-110,+2-110,-2-105,+2-105,-2-110,+2-110,-2-110,+2-110,-2-110,+2-110,-2½-115,+2½-105
186,20151030,p,full,6,-,-,+5-110,-5-110,+4-104,-4-106,+4-105,-4-105,+4-110,-4-110,+4-110,-4-110,+4½-115,-4½-105,+4-105,-4-105,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110,+4-110,-4-110
187,20151030,p,full,7,-,-,+14½-110,-14½-110,+14-113,-14+102,+13½-102,-13½-108,+13½-110,-13½-110,+14-115,-14-105,+14-110,-14-110,+13½-105,-13½-105,+14-115,-14-105,+14-110,-14-110,+13½-110,-13½-110,+14-115,-14-105
188,20151030,p,full,8,-,-,+4-110,-4-110,+3½-107,-3½-103,+3½-105,-3½-105,+3½-115,-3½-105,+3½-110,-3½-110,+3½-110,-3½-110,+3½-105,-3½-105,+3½-115,-3½-105,+3½-110,-3½-110,+3½-115,-3½-105,+3½-110,-3½-110
189,20151030,p,full,9,-,-,-1½-110,+1½-110,-1-105,+1-105,-1-108,+1-102,-1-110,+1-110,-1-115,+1-105,-2-115,+2-105,-1-105,+1-105,-1-110,+1-110,-1-110,+1-110,-1-110,+1-110,-1-115,+1-105
190,20151030,p,full,10,-,-,+6½-110,-6½-110,+7-107,-7-103,+7-105,-7-105,+7-115,-7-105,+7-113,-7-107,+7-115,-7-105,+7-105,-7-105,+7-115,-7-105,+7-110,-7-110,+7-115,-7-105,+7-113,-7-107
191,20151030,p,full,11,-,-,+4½-110,-4½-110,+4½-102,-4½-108,+4½-107,-4½-103,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-105,-4½-105,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110
192,20151030,p,first,0,-,-,+3½-115,-3½-105,+3-110,-3+100,+2½-115,-2½-105,-,-,+2½-105,-2½-115,-,-,+2½-110,-2½-110,+2½-110,-2½-110,+2½-105,-2½-115,-,-,+2½-105,-2½-115
193,20151030,p,first,1,-,-,-3½-110,+3½-110,-3½-113,+3½+102,-3½-115,+3½-105,-,-,-3½-115,+3½-105,-,-,-3½-115,+3½-105,-3½-115,+3½-105,-3½-115,+3½-105,-,-,-3½-115,+3½-105
194,20151030,p,first,2,-,-,-4½-110,+4½-110,-4½-105,+4½-105,-4½-110,+4½-110,-,-,-4½-110,+4½-110,-,-,-4½-110,+4½-110,-4½-110,+4½-110,-4½-110,+4½-110,-,-,-4½-110,+4½-110
