Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
34,20190401,m,full,7,62%,38%,+550,-800,+500,-603,+568,-700,+535,-751,+495,-620,+500,-800,+535,-710,+525,-750,+550,-750,+535,-751,+495,-620
35,20190401,m,full,8,52%,48%,+125,-145,+114,-126,+115,-125,+115,-135,+115,-135,+105,-125,+110,-130,+110,-130,+115,-135,+115,-135,+115,-135
36,20190401,m,first,0,53%,47%,+155,-175,+160,-182,+155,-175,+150,-172,+155,-175,+145,-175,+155,-175,-,-,+155,-175,+150,-172,+155,-175
37,20190401,m,first,1,93%,7%,+170,-200,+174,-199,+170,-200,+163,-190,+175,-205,+155,-190,+170,-195,-,-,+165,-205,+170,-200,+175,-205
38,20190401,m,first,2,35%,65%,-125,+105,-102,-111,-105,-115,-105,-115,-121,+101,-125,-105,-105,-115,-,-,-,-,-105,-115,-121,+101
39,20190401,m,first,3,52%,48%,+170,-200,+179,-204,+175,-210,+170,-200,+165,-190,+160,-200,+170,-195,-,-,+175,-210,+170,-200,+165,-190
40,20190401,m,first,4,63%,37%,+120,-140,+137,-156,+135,-155,+148,-170,+130,-150,+120,-150,+135,-155,-,-,+135,-155,+141,-162,+130,-150
41,20190401,m,first,5,68%,32%,-145,+125,-126,+112,-135,+115,-124,+104,-125,+105,-135,+105,-130,+110,-,-,-135,+115,-124,+104,-125,+105
42,20190401,m,first,6,45%,55%,-185,+160,-155,+137,-155,+135,-153,+133,-157,+137,-160,+130,-155,+135,-,-,-155,+135,-155,+134,-157,+137
43,20190401,m,first,7,46%,54%,+300,-360,+281,-330,+275,-335,+282,-352,+265,-315,+275,-350,+270,-330,-,-,+285,-345,+282,-352,+265,-315
44,20190401,m,first,8,43%,57%,+105,-125,+119,-135,+110,-130,+120,-142,+110,-130,-105,-125,+110,-130,-,-,+105,-135,+120,-142,+110,-130
45,20190401,m,sec,0,0%,100%,+130,-150,-,-,+128,-148,-,-,+140,-160,+125,-155,+130,-150,-,-,-,-,-,-,+140,-160
46,20190401,m,sec,1,47%,53%,-130,+110,-,-,-125,+105,-,-,-,-,-130,+100,-125,+105,-,-,-,-,-,-,-,-
47,20190401,m,sec,2,57%,43%,+145,-165,-,-,+145,-165,-,-,+149,-169,+140,-170,+145,-165,-,-,-,-,-,-,+149,-169
48,20190401,m,sec,3,47%,53%,+100,-120,-,-,+100,-120,-,-,-,-,-,-,+100,-120,-,-,-,-,-,-,-,-
49,20190401,m,sec,4,0%,100%,-175,+155,-,-,-170,+150,-,-,-169,+149,-175,+145,-170,+150,-,-,-,-,-,-,-169,+149
50,20190401,m,sec,5,100%,0%,+120,-140,-,-,+120,-140,-,-,+135,-155,+120,-150,+125,-145,-,-,-,-,-,-,+135,-155
51,20190401,m,sec,6,0%,100%,-450,+360,-,-,-450,+360,-,-,-450,+375,-450,+325,-450,+360,-,-,-,-,-,-,-450,+375
52,20190401,m,sec,7,100%,0%,+145,-165,-,-,+145,-165,-,-,+138,-158,-,-,+140,-160,-,-,-,-,-,-,+138,-158
53,20190401,m,sec,8,0%,100%,-280,+240,-,-,-225,+185,-,-,-240,+200,-250,+195,-225,+190,-,-,-,-,-,-,-240,+200
54,20190401,t,full,0,39%,61%,210-115,210-115,203½-105,203½-105,203½-105,203½-105,203½-110,203½-110,203-109,203-111,204-115,204-105,203½-105,203½-105,203½-110,203½-110,203½-110,203½-110,203½-110,203½-110,203-109,203-111
55,20190401,t,full,1,61%,39%,212-115,212-115,214-101,214-109,213½-102,213½-108,213-110,213-110,213-110,213-110,213-110,213-110,213½-105,213½-105,213-110,213-110,213½-110,213½-110,213-110,213-110,213-110,213-110
56,20190401,t,full,2,59%,41%,226½-115,226½-115,229½-110,229½-100,230-108,230-102,230-110,230-110,229½-115,229½-105,230-110,230-110,230-105,230-105,229½-110,229½-110,229½-110,229½-110,230-110,230-110,229½-115,229½-105
