Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
56,20061101,m,sec,3,-,-,-,-,+228,-260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,20061101,m,sec,4,-,-,-,-,+172,-190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,20061101,m,sec,5,-,-,-,-,+345,-395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,20061101,m,sec,6,-,-,-,-,+147,-162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,20061101,t,full,0,-,-,195-110,195-110,193½-105,193½-105,193½-110,193½-110,193-110,193-110,-,-,193-110,193-110,-,-,-,-,-,-,-,-,-,-
61,20061101,t,full,1,-,-,187-110,187-110,183½-105,183½-105,183-110,183-110,183-110,183-110,-,-,184-110,184-110,-,-,-,-,-,-,-,-,-,-
62,20061101,t,full,2,-,-,200½-110,200½-110,199-111,199+101,198½-110,198½-110,199½-110,199½-110,-,-,199-115,199-105,-,-,-,-,-,-,-,-,-,-
63,20061101,t,full,3,-,-,197½-110,197½-110,198-105,198-105,197½-110,197½-110,197½-110,197½-110,-,-,198-105,198-115,-,-,-,-,-,-,-,-,-,-
64,20061101,t,full,4,-,-,199½-110,199½-110,202-103,202-107,201½-110,201½-110,201½-110,201½-110,-,-,202-105,202-115,-,-,-,-,-,-,-,-,-,-
65,20061101,t,full,5,-,-,192½-110,192½-110,194-109,194-101,194½-110,194½-110,194-110,194-110,-,-,194-110,194-110,-,-,-,-,-,-,-,-,-,-
66,20061101,t,full,6,-,-,187½-110,187½-110,184½-102,184½-108,184½-110,184½-110,185-110,185-110,-,-,184-110,184-110,-,-,-,-,-,-,-,-,-,-
67,20061101,t,first,0,-,-,96½-110,96½-110,97+107,97-117,96½-110,96½-110,95½-110,95½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,20061101,t,first,1,-,-,93-110,93-110,92+102,92-112,92-110,92-110,91½-110,91½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,20061101,t,first,2,-,-,98½-110,98½-110,99-104,99-106,98½-110,98½-110,98-110,98-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,20061101,t,first,3,-,-,100½-110,100½-110,100+106,100-116,99-110,99-110,98½-110,98½-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
