p_id,first_name,last_name
741,Kyle,Weaver
742,Chucky,Atkins
743,Jason,Thompson
744,Tony,Battie
745,Jermaine,O'Neal
746,Will,Solomon
747,Roko,Ukic
748,Nathan,Jawai
749,Malik,Hairston
750,Mario,Chalmers
751,Jamaal,Magloire
752,Joel,Anthony
753,Greg,Oden
754,Rudy,Fernandez
755,Sun,Yue
756,Donte,Greene
757,Alando,Tucker
758,Adam,Morrison
759,Cartier,Martin
760,Sean,Singletary
761,Kyrylo,Fesenko
762,Morris,Almond
763,O.J.,Mayo
764,Darius,Miles
765,Darnell,Jackson
766,Trey,Johnson
767,Joe,Alexander
768,Chris,Douglas-Roberts
769,Elton,Brand
770,James,Singleton
771,Brent,Barry
772,Ronald,Murray
773,Chris,Mihm
774,Cheikh,Samb
775,Rob,Kurz
776,Sonny,Weems
777,Anthony,Randolph
778,Sean,May
779,Eddie,Gill
780,Randolph,Morris
781,Anthony,Roberson
782,Kenny,Thomas
783,Henry,Walker
784,Thomas,Gardner
785,Alex,Acker
786,Tarence,Kinsey
787,Lindsey,Hunter
788,J.R.,Giddens
789,Courtney,Sims
790,Mike,Taylor
791,Pops,Mensah-Bonsu
792,Stephon,Marbury
793,Bogdan,Bogdanovic
794,De'Aaron,Fox
795,Justin,Jackson
796,Frank,Mason
797,Jayson,Tatum
798,Semi,Ojeleye
799,Daniel,Theis
800,Abdel,Nader
801,Shane,Larkin
802,Guerschon,Yabusele
803,Khris,Middleton
804,Sterling,Brown
805,D.J.,Wilson
806,Dwayne,Bacon
807,Malik,Monk
808,Marcus,Paige
809,Johnny,O'Bryant
810,T.J.,Leaf
811,Alex,Poythress
812,Ike,Anigbogu
813,Ante,Zizic
814,Cedi,Osman
815,OG,Anunoby
816,Alfonzo,McKinnie
817,Dennis,Smith
818,Maxi,Kleber
819,Nerlens,Noel
820,Sindarius,Thornwell
821,Jawun,Evans
822,Brice,Johnson
823,Jonathan,Isaac
824,Wesley,Iwundu
825,Dillon,Brooks
826,Tyreke,Evans
827,Kobi,Simmons
828,Ivan,Rabb
829,Lauri,Markkanen
830,David,Nwaba
831,Quincy,Pondexter
832,Okaro,White
833,Bam,Adebayo
834,Marcus,Georges-Hunt
835,Darius,Miller
836,Zhou,Qi
837,Frank,Ntilikina
838,Damyean,Dotson
839,Isaiah,Taylor
840,John,Collins
841,Tyler,Dorsey
842,Ben,Simmons
843,Furkan,Korkmaz
844,Zach,Collins
845,Caleb,Swanigan
846,Donovan,Mitchell
847,Alec,Burks
848,Ekpe,Udoh
849,Tony,Bradley
850,Royce,O'Neale
851,Josh,Jackson
852,Jodie,Meeks
853,Carrick,Felix
854,Lonzo,Ball
855,Kyle,Kuzma
856,Josh,Hart
857,Jordan,Bell
858,Brandon,Paul
859,Derrick,White
860,Gian,Clavell
861,Reggie,Jackson
862,Eric,Moreland
863,Luke,Kennard
864,Caris,LeVert
865,Spencer,Dinwiddie
866,Jacob,Wiley
867,Terrance,Ferguson
868,Dakari,Johnson
869,Michael,Carter-Williams
870,Wayne,Selden
871,Tyler,Cavanaugh
872,Derrick,Walton
873,Vander,Blue
874,Thomas,Bryant
875,Jabari,Bird
876,Antonio,Blakeney
877,Luis,Montero
878,C.J.,Williams
879,Charles,Cooke
880,Jalen,Jones
881,Alec,Peters
882,Matt,Costello
883,Quinn,Cook
884,Vince,Hunter
885,Nate,Wolters
886,Jarrett,Allen
887,Gary,Payton
888,Daniel,Hamilton
889,Jamil,Wilson
890,Antonius,Cleveland
891,Jack,Cooley
892,Lorenzo,Brown
893,John,Holland
894,Jacob,Pullen
895,Tyler,Lydon
896,Josh,Magette
897,Briante,Weber
898,London,Perrantes
899,Torrey,Craig
900,Julyan,Stone
901,Andre,Barrett
